"Id","DisplayName","StandardName"
"Russian Standard Time","(UTC+03:00) Moscow, St. Petersburg","Russia TZ 2 Standard Time"
"E. Africa Standard Time","(UTC+03:00) Nairobi","E. Africa Standard Time"
"Volgograd Standard Time","(UTC+03:00) Volgograd","Volgograd Standard Time"
"Iran Standard Time","(UTC+03:30) Tehran","Iran Standard Time"
"Arabian Standard Time","(UTC+04:00) Abu Dhabi, Muscat","Arabian Standard Time"
"Astrakhan Standard Time","(UTC+04:00) Astrakhan, Ulyanovsk","Astrakhan Standard Time"
"Azerbaijan Standard Time","(UTC+04:00) Baku","Azerbaijan Standard Time"
"Russia Time Zone 3","(UTC+04:00) Izhevsk, Samara","Russia TZ 3 Standard Time"
"Mauritius Standard Time","(UTC+04:00) Port Louis","Mauritius Standard Time"
"Saratov Standard Time","(UTC+04:00) Saratov","Saratov Standard Time"
"Georgian Standard Time","(UTC+04:00) Tbilisi","Georgian Standard Time"
"Caucasus Standard Time","(UTC+04:00) Yerevan","Caucasus Standard Time"
"Afghanistan Standard Time","(UTC+04:30) Kabul","Afghanistan Standard Time"
"West Asia Standard Time","(UTC+05:00) Ashgabat, Tashkent","West Asia Standard Time"
"Ekaterinburg Standard Time","(UTC+05:00) Ekaterinburg","Russia TZ 4 Standard Time"
"Pakistan Standard Time","(UTC+05:00) Islamabad, Karachi","Pakistan Standard Time"
"Qyzylorda Standard Time","(UTC+05:00) Qyzylorda","Qyzylorda Standard Time"
"India Standard Time","(UTC+05:30) Chennai, Kolkata, Mumbai, New Delhi","India Standard Time"
"Sri Lanka Standard Time","(UTC+05:30) Sri Jayawardenepura","Sri Lanka Standard Time"
"Nepal Standard Time","(UTC+05:45) Kathmandu","Nepal Standard Time"
"Central Asia Standard Time","(UTC+06:00) Astana","Central Asia Standard Time"
"Bangladesh Standard Time","(UTC+06:00) Dhaka","Bangladesh Standard Time"
"Omsk Standard Time","(UTC+06:00) Omsk","Omsk Standard Time"
"Myanmar Standard Time","(UTC+06:30) Yangon (Rangoon)","Myanmar Standard Time"
"SE Asia Standard Time","(UTC+07:00) Bangkok, Hanoi, Jakarta","SE Asia Standard Time"
"Altai Standard Time","(UTC+07:00) Barnaul, Gorno-Altaysk","Altai Standard Time"
"W. Mongolia Standard Time","(UTC+07:00) Hovd","W. Mongolia Standard Time"
"North Asia Standard Time","(UTC+07:00) Krasnoyarsk","Russia TZ 6 Standard Time"
"N. Central Asia Standard Time","(UTC+07:00) Novosibirsk","Novosibirsk Standard Time"
"Tomsk Standard Time","(UTC+07:00) Tomsk","Tomsk Standard Time"
"China Standard Time","(UTC+08:00) Beijing, Chongqing, Hong Kong, Urumqi","China Standard Time"
"North Asia East Standard Time","(UTC+08:00) Irkutsk","Russia TZ 7 Standard Time"
"Singapore Standard Time","(UTC+08:00) Kuala Lumpur, Singapore","Malay Peninsula Standard Time"
"W. Australia Standard Time","(UTC+08:00) Perth","W. Australia Standard Time"
"Taipei Standard Time","(UTC+08:00) Taipei","Taipei Standard Time"
"Ulaanbaatar Standard Time","(UTC+08:00) Ulaanbaatar","Ulaanbaatar Standard Time"
"Aus Central W. Standard Time","(UTC+08:45) Eucla","Aus Central W. Standard Time"
